Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000001,2026-01-01,Individual,Express,Oli Top1,238.73,Makassar,Jakarta,Hazmat
ORD000002,2026-01-02,SMB,Express,Oli Top1,17.01,Jakarta,Surabaya,None
ORD000003,2026-01-03,SMB,Economy,Oli Federal,3024.95,Surabaya,Balikpapan,Hazmat
ORD000004,2026-01-04,Individual,Economy,Sparepart Motor,56.74,Jakarta,Medan,Fragile
ORD000005,2026-01-05,SMB,Standard,Oli Top1,19148.65,Makassar,Surabaya,Hazmat
ORD000006,2026-01-06,Individual,Express,Oli Aspira,158.22,Makassar,Manado,Temperature_Controlled
ORD000007,2026-01-07,Individual,Standard,Sparepart Motor,736.82,Surabaya,Balikpapan,Fragile
ORD000008,2026-01-08,Enterprise,Standard,Oli Top1,4771.54,Makassar,Jakarta,Hazmat
ORD000009,2026-01-09,SMB,Express,Oli Federal,3711.35,Jakarta,Pontianak,None
ORD000010,2026-01-10,SMB,Standard,Oli Top1,7936.32,Medan,Palembang,Hazmat
ORD000011,2026-01-11,Enterprise,Standard,Sparepart Motor,41.07,Jakarta,Bandung,Fragile
ORD000012,2026-01-12,Enterprise,Standard,Oli Aspira,73.42,Surabaya,Semarang,None
ORD000013,2026-01-13,SMB,Standard,Oli Top1,566.23,Makassar,Balikpapan,Hazmat
ORD000014,2026-01-14,SMB,Express,Sparepart Motor,1421.72,Jakarta,Manado,Fragile
ORD000015,2026-01-15,Enterprise,Standard,Oli Federal,396.69,Surabaya,Medan,Hazmat
ORD000016,2026-01-16,Enterprise,Standard,Oli Top1,34.57,Jakarta,Pontianak,Temperature_Controlled
ORD000017,2026-01-17,Individual,Standard,Oli Aspira,849.69,Makassar,Palembang,None
ORD000018,2026-01-18,Enterprise,Economy,Sparepart Motor,301.46,Surabaya,Bandung,Fragile
ORD000019,2026-01-19,Enterprise,Standard,Oli Top1,296.08,Medan,Balikpapan,Hazmat
ORD000020,2026-01-20,SMB,Express,Oli Federal,13.24,Surabaya,Semarang,Temperature_Controlled
ORD000021,2026-01-21,Individual,Express,Oli Top1,1334.39,Jakarta,Manado,Hazmat
ORD000022,2026-01-22,Enterprise,Standard,Sparepart Motor,501.6,Balikpapan,Pontianak,Fragile
ORD000023,2026-01-23,SMB,Express,Oli Aspira,5959.53,Medan,Palembang,None
ORD000024,2026-01-24,Individual,Standard,Oli Top1,360.77,Bandung,Surabaya,Hazmat
ORD000025,2026-01-25,Enterprise,Economy,Oli Federal,943.42,Surabaya,Makassar,None
ORD000026,2026-01-26,Individual,Standard,Sparepart Motor,1404.91,Balikpapan,Jakarta,Fragile
ORD000027,2026-01-27,SMB,Standard,Oli Top1,29.39,Bandung,Medan,Hazmat
ORD000028,2026-01-28,SMB,Standard,Oli Top1,20435.93,Surabaya,Pontianak,None
ORD000029,2026-01-29,SMB,Standard,Oli Aspira,211.41,Makassar,Manado,Temperature_Controlled
ORD000030,2026-01-30,SMB,Standard,Oli Federal,847.13,Jakarta,Balikpapan,Hazmat
ORD000031,2026-01-31,Enterprise,Economy,Oli Top1,1054.55,Surabaya,Semarang,None
ORD000032,2026-02-01,Individual,Standard,Sparepart Motor,118.85,Makassar,Pontianak,Fragile
ORD000033,2026-02-02,SMB,Economy,Oli Top1,6441.2,Jakarta,Medan,Hazmat
ORD000034,2026-02-03,Enterprise,Economy,Oli Federal,601.2,Surabaya,Palembang,Temperature_Controlled
ORD000035,2026-02-04,Enterprise,Express,Oli Aspira,292.89,Balikpapan,Jakarta,None
ORD000036,2026-02-05,SMB,Express,Oli Top1,496.59,Makassar,Bandung,Hazmat
ORD000037,2026-02-06,SMB,Express,Sparepart Motor,1269.5,Makassar,Manado,Fragile
ORD000038,2026-02-07,Enterprise,Express,Oli Top1,410.02,Medan,Pontianak,Hazmat
ORD000039,2026-02-08,SMB,Express,Oli Federal,1514.58,Balikpapan,Palembang,None
ORD000040,2026-02-09,Enterprise,Standard,Oli Top1,32.22,Surabaya,Makassar,Hazmat
ORD000041,2026-02-10,SMB,Express,Sparepart Motor,131.37,Bandung,Medan,Fragile
ORD000042,2026-02-11,Enterprise,Standard,Oli Aspira,16.31,Jakarta,Semarang,Temperature_Controlled
